outlier,views,subs,channel,found_via,ai_hint,published,evergreen,title,url
8.02,123500,15400,瓜田剧场NO1ShortDrama,adjacent,-,2026-08-15,maybe,"가난한 소년이 바비큐 노점에서 불량배와 시비가 붙었는데,그때 억만장자 CEO가 나타나 그와 결혼하라고 요구한다!인생이 완전히 뒤바뀐다.",https://www.youtube.com/watch?v=Rtp_Ice4mI4
3.49,71645,20500,Universal Resilience with JT Yu,ai-native,term,2026-08-04,maybe,AI Is Repeating Humanity’s Oldest Mistake,https://www.youtube.com/watch?v=brNAuoFi2Xo
3.17,48875,15400,瓜田剧场NO1ShortDrama,adjacent,-,2026-08-15,maybe,불쌍한 남자는 약에 취해 처제와 잠자리를 가졌다.우연히 비밀 시스템을 발견한 그는 처제의 비밀을 이용해 돈을 벌어 억만장자가 되었다!,https://www.youtube.com/watch?v=VxtGHs8hJMA
