channelTitle,handle,niche,mainCategory,subscriberCount,avgViews,viewCount,videoCount,estimatedEarnings,country,isFaceless,channelType,publishedAt,lastVideoPublished,channelId,_per_video,_lifetime,_age_days,_vids_per_mo
Samuel Wilder,@samuelwilder-v6h,Wildlife,Lifestyle (sociology),49900,125453.42162162162,23208883,185,380.1,US,True,short,2024-11-14T21:17:10Z,2026-08-05T00:00:00.000Z,UCs4J6PlDqldOrwN_7lCqUDA,2.5140966256837998,465.107875751503,631,8.795562599049127
AIsuy374,@aisuy-h4z,Viral Comedy Compilations,Film,55400,136019.42105263157,7753107,57,75.59,US,True,,2026-01-06T13:18:15Z,2026-07-09T00:00:00.000Z,UC4cyJRTzM2-bHmD1Nkd_Qjw,2.455224206726202,139.9477797833935,214,7.990654205607476
NOOB GANG,@noobgang1-y5j,True Crime,Entertainment,224000,530158.25,31809495,60,452.41,IN,True,,2025-11-24T07:25:16Z,2026-08-03T00:00:00.000Z,UC1BLXY2JibjYFX3ao8FsxFQ,2.3667779017857145,142.00667410714286,257,7.003891050583658
Neuro Anime Music,@neuroanimemusic,Video Game Music,Role-playing video game,12000,28189.164948453606,8203047,291,864.27,US,True,long,2024-07-17T16:17:37Z,2026-07-21T00:00:00.000Z,UCQWuG2a9J2lmo-L2UC6rrmA,2.3490970790378007,683.58725,751,11.62450066577896
@ceo.ngochang,@ceo.ngochang,Buddhism,Society,38500,90390.94557823129,13287469,147,67.18,US,True,,2019-12-29T03:37:45Z,2026-08-06T00:00:00.000Z,UCGsbPLZupHJw-5uCqki4J7g,2.347816768265748,345.12906493506495,2414,1.8268434134217066
SpirographicArt.com,@spirographicart,Geometric Art,Hobby,12000,28037.846153846152,2551444,91,21.69,CA,True,long,2014-09-01T21:18:07Z,2026-08-05T00:00:00.000Z,UCBLVE31jEHQZuJ8Pu3LtJLg,2.3364871794871793,212.62033333333332,4358,0.6264341441027994
Uloq ОТАНЖОМ ТОШКЕНТ🔵,@ulok_otanjom_toshkent,Horse Marketplace,Lifestyle (sociology),100000,232795.76630434784,85668842,368,88.14,US,True,,2018-10-24T11:52:38Z,2026-08-05T00:00:00.000Z,UC4dVPykFjSBFt0KBABSa5Vw,2.3279576630434784,856.68842,2845,3.8804920913884007
Ethiopix,@ethiopix,Science & Education,Knowledge,25000,57125.485714285714,1999392,35,382.49,US,True,long,2020-07-21T07:36:40Z,2026-07-18T00:00:00.000Z,UChez1j6ENdvdQ57GV3Ntxnw,2.2850194285714287,79.97568,2209,0.4753282028066998
The Next Show | Stories That Feel Like Movies,@the_next_show,AI Animation,Entertainment,124000,283005.93548387097,26319552,93,13931.62,US,True,,2015-05-03T22:25:31Z,2026-08-04T00:00:00.000Z,UCEbhMBucfh4N48Av0NJp2WQ,2.28230593132154,212.25445161290324,4114,0.6781720952843948
AL-EARTH MAPPING,@al-earth-mapping,Countryballs Animation,Knowledge,100000,226324.72932330827,30101189,133,8.7,US,True,short,2023-01-24T09:59:03Z,2026-08-06T00:00:00.000Z,UCuqb2WdcQhbuG83mW7f8-xg,2.263247293233083,301.01189,1292,3.0882352941176467
ves gardens,@vesgardens,Gardening,Lifestyle (sociology),12000,27145.26168224299,5809086,214,266.4,US,True,short,2019-02-08T07:04:37Z,2026-07-27T00:00:00.000Z,UCT0pDVvrqoucXMe9BWz4-EQ,2.262105140186916,484.0905,2738,2.3447772096420745
Codist ,@codistcs,Computer Science & Technology Education,Lifestyle (sociology),50000,112657.05555555556,2027827,18,1291.38,US,True,long,2025-01-05T03:56:07Z,2026-08-04T00:00:00.000Z,UCo-yQhAKie0WCV7-E-z9Mog,2.2531411111111113,40.55654,580,0.9310344827586208
Plushshopofficial,@plushshopoffical,Custom Plush Toys,Entertainment,180000,404221.3396226415,21423731,53,0,US,True,short,2023-09-14T08:30:53Z,2026-08-06T00:00:00.000Z,UCMZ1tYSwvjsV2fXX20ZW2OA,2.2456741090146752,119.02072777777778,1059,1.501416430594901
Pixelyz,@onlypixelyz,Roblox Gaming,Action-adventure game,12000,26610.952662721895,4497251,169,3.6,US,True,short,2022-03-01T08:16:34Z,2026-07-12T00:00:00.000Z,UCDiF9IDqj2PM8jbFMOfdl8Q,2.217579388560158,374.77091666666666,1621,3.1276989512646516
Ehabanero,@ehabanero,Minecraft Gameplay,Action-adventure game,11100,24352.589743589742,1899502,78,417.6,US,True,,2026-01-28T00:44:10Z,2026-08-05T00:00:00.000Z,UCIA_hLDgnGsJYOI-XREi3SQ,2.193927003927004,171.1263063063063,192,12.1875
巨好笑趣梗社,@juhaoxiaoqugengshe,Short Dramas,Entertainment,43500,95317.44242424243,15727378,165,319.98,US,True,,2024-08-02T22:40:24Z,2026-08-06T00:00:00.000Z,UCpZKoXCj9qaLqoXCMtXHAkA,2.19120557297109,361.54891954022986,735,6.73469387755102
Junek Studio,@junekstudio,Music Production,Music,12000,26288.014492753624,1813873,69,23.96,GB,True,long,2009-12-17T09:39:27Z,2026-07-31T00:00:00.000Z,UCsdYzvBe92oOsf_xKnV0Alg,2.1906678743961354,151.15608333333333,6078,0.3405725567620928
The Top Works,@thetopworks9696,Blacksmithing,Hobby,49900,109125.7533632287,24335043,223,470.81,PK,True,long,2022-08-30T07:31:54Z,2026-08-02T00:00:00.000Z,UCgscjeazrc1WqCKIRswBwjw,2.186888844954483,487.6762124248497,1439,4.649061848505907
PauL ALMiGHTY,@paul_almighty,Fictional Lore & Character Analysis,Video game culture,12000,26177.391791044774,7015541,268,379.85,US,True,short,2024-05-31T04:46:45Z,2026-08-06T00:00:00.000Z,UC16v4fEu7DvnSZ4ZjjbNYaA,2.181449315920398,584.6284166666667,799,10.062578222778473
Gleam,@-gleamx,Roblox Forsaken Content,Action-adventure game,25000,53497.194444444445,5777697,108,337.05,US,True,long,2017-03-06T21:20:51Z,2026-07-09T00:00:00.000Z,UCK0c2ZTfWWTNK4rXMhPZlXA,2.1398877777777776,231.10788,3441,0.941586748038361
sock,@roseluvse,Roblox Gaming,Action game,25000,52248.970588235294,12435255,238,,AU,True,short,2024-08-14T08:17:00Z,2026-08-03T00:00:00.000Z,UCaYQNeFZ2vCvJiKLuM2LzLg,2.0899588235294115,497.4102,724,9.861878453038674
Devilripper (Akan Empire),@devilripper913,Country Mapping Edits,Knowledge,14800,30779.703504043126,11419270,371,585.09,CA,True,,2019-01-31T12:12:38Z,2026-08-05T00:00:00.000Z,UCCEAI0mcmZOwfXDHUjvLRMA,2.07970969621913,771.5722972972973,2746,4.0531682447195925
Mimi Stories,@mimistorieshd,Food & Drink,Food,28000,57116.33884297521,6911077,121,164.11,US,True,mixed,2023-12-12T07:02:00Z,2026-08-03T00:00:00.000Z,UCKhMOXa2Vo2KSUyG-Z6_v0w,2.039869244391972,246.82417857142858,970,3.742268041237113
OctoLab,@octolabyt,Science & Nature Documentary,Entertainment,50100,100639.36781609195,8755625,87,15771.08,US,True,,2010-06-07T21:43:04Z,2026-08-05T00:00:00.000Z,UCuxBXxhBXw9LoPxIIY_APDA,2.008769816688462,174.7629740518962,5905,0.44199830651989835
aleobe,@aleobe,Fan Edits & Trailers,Entertainment,25000,49839.010695187164,9319895,187,44.43,GB,True,long,2016-07-06T15:05:02Z,2026-07-31T00:00:00.000Z,UCHaQr4ycLNwQt2IdLCZgN8A,1.9935604278074865,372.7958,3684,1.522801302931596
NUREXIS,@nurexis,Christianity,Society,115000,226921.93023255814,9757643,43,52.44,IN,True,,2020-11-12T05:52:23Z,2026-08-05T00:00:00.000Z,UCr_GGegdusTBsSfOoDZFZHg,1.973234175935288,84.84906956521739,2095,0.6157517899761337
Lecctron,@lecctron,PC Hardware & Gaming Tech,Action-adventure game,300000,573725.1882352941,48766641,85,7322.62,CA,True,long,2017-07-09T19:40:41Z,2026-08-01T00:00:00.000Z,UCoe9JNwWfmVj69LVsUuwqWA,1.912417294117647,162.55547,3316,0.7689987937273824
AvatarStar,@avatarstaryt,TV Show Analysis,Film,49900,92590.54857142858,16203346,175,1776.94,AU,True,long,2022-03-23T06:58:07Z,2026-08-06T00:00:00.000Z,UC6xN1d5A7BVssNrjQq5VMbg,1.8555220154594905,324.7163527054108,1599,3.283302063789869
Passengereye,@passengereye,Urban Vlogging,Entertainment,25000,46287.64892086331,64339832,1390,34.61,US,True,short,2012-01-13T22:06:53Z,2026-08-05T00:00:00.000Z,UCBnCvVfMhBFzTyDHAUtlr-A,1.8515059568345322,2573.59328,5320,7.838345864661654
Lone Star Lens,@lonestarlenstx,First Amendment Auditing,Lifestyle (sociology),25000,46204.82352941176,2356446,51,1648.32,US,True,,2012-08-01T23:42:59Z,2026-08-06T00:00:00.000Z,UCCq7eVvLsOcZ70hyfc9AGkg,1.8481929411764706,94.25784,5119,0.2988865012697793
SpookeToons,@spooketoons,Horror Game Lore & Theories,Action game,231000,417432.14130434784,38403757,92,1739.19,US,True,,2025-02-24T08:25:10Z,2026-08-04T00:00:00.000Z,UCJSj1yjCnblgbJeY6KjQ5ZQ,1.8070655467720687,166.25003030303031,530,5.2075471698113205
Yamikaze0 Official,@thetruekaze0,Anime Commentary,Entertainment,25000,44565.54666666667,6684832,150,0,US,True,short,2022-09-03T14:59:47Z,2026-07-18T00:00:00.000Z,UCZwzIShj2AqBSdu9ZMPCDjQ,1.7826218666666667,267.39328,1434,3.1380753138075317
Alex S Versulla,@alexsversulla,Music,Music,12000,21171.245614035088,1206761,57,69.85,US,True,,2024-11-04T10:41:16Z,2026-08-06T00:00:00.000Z,UCQRYedVV2J0h1QT7lXwucPQ,1.7642704678362573,100.56341666666667,642,2.663551401869159
Moon Dreams,@springmadness1808,Music,Hip hop music,100000,175637.37125748504,117325764,668,3420.1,US,True,long,2019-12-23T04:21:31Z,2026-08-05T00:00:00.000Z,UCTvR8q5-IxGu8pSWCi7Owqg,1.7563737125748504,1173.25764,2420,8.28099173553719
PetsShortsYT,@petsshortsyt0,Pet Education & Behavior,Entertainment,13800,24220.628571428573,847722,35,6.14,US,True,,2020-08-01T04:00:04Z,2026-07-30T00:00:00.000Z,UChmwFz4WvdTxRfq5fZ1EbYA,1.7551180124223604,61.42913043478261,2198,0.47770700636942676
Urban Queen Stories,@urbanqueenstories,Drama Series,Television program,12000,21055.168316831685,2126572,101,1366.67,AU,True,,2019-01-09T09:48:16Z,2026-08-06T00:00:00.000Z,UCIncalSwjvecNMfYVmXx3qg,1.7545973597359736,177.21433333333334,2768,1.0946531791907514
MergeDroid,@mergedroid,Chromebooks,Technology,12000,20963.63141025641,6540653,312,118.45,GB,True,mixed,2016-06-22T22:22:05Z,2026-07-18T00:00:00.000Z,UCy6uhB74QEbNJJKt3z-cW_w,1.7469692841880342,545.0544166666666,3698,2.5310978907517576
ZUHO,@zuhotv,Motivational Content,Religion,50000,86470.49927219797,59405233,687,47.4,US,True,short,2021-10-04T06:39:13Z,2026-08-06T00:00:00.000Z,UCghmkukCNNn8UB4FWWIFvcA,1.7294099854439593,1188.10466,1769,11.650650084793668
SATYAM RBX,@satyamrbx,Roblox Gaming,Action game,49900,86162.05696202532,13613605,158,56.19,IN,True,,2020-01-28T04:58:09Z,2026-08-06T00:00:00.000Z,UC2GJ3DzZqys4MfPdniuKODQ,1.7266945282971007,272.8177354709419,2384,1.988255033557047
