outlier,views,subs,channel,found_via,ai_hint,published,evergreen,title,url
6.9,93873,13600,瓜田剧场NO1ShortDrama,adjacent,-,2026-08-14,maybe,갓 출소한 그는 죽어가는 상속녀를 구하고 2만 달러를 손에 넣었다!이 불쌍한 남자의 부자 되기 여정이 시작되었다!,https://www.youtube.com/watch?v=XRO3GaRHVVU
5.09,69201,13600,瓜田剧场NO1ShortDrama,adjacent,-,2026-08-14,maybe,"배달원이 엑스레이 투시 능력을 얻고,백만 달러짜리 비취를 발견하고,미녀들을 유혹하고,인생이 뒤바뀌었습니다!",https://www.youtube.com/watch?v=BYraBIW9nGA
3.03,66052,21800,Just Explained,ai-native,-,2026-08-08,maybe,Every Programming Language Explained in 16 Minutes,https://www.youtube.com/watch?v=uerEG_yigco
