outlier,views,subs,channel,found_via,ai_hint,published,evergreen,title,url
6.7,75661,11300,瓜田剧场NO1ShortDrama,adjacent,-,2026-08-12,maybe,"결혼 전날, 가난한 남자가 약혼녀의 불륜을 목격하고 금전 갈취를 당한다.그 순간 시스템이 활성화된다. 불륜 적발 시 만 배 보상, 부자가 되어 인생 역전!",https://www.youtube.com/watch?v=Scl2zHfKvXI
3.13,35327,11300,瓜田剧场NO1ShortDrama,adjacent,-,2026-08-10,maybe,"가난한 소년이 시스템을 깨우고, 돈을 밝히는 여자를 꾸짖어 무한한 부를 얻고, 세계 최고의 부자가 된다.",https://www.youtube.com/watch?v=AXUJRO9Nd7Q
