anchor,n_videos,n_channels,contested,median_views,best_views,first_seen,last_seen,best_title,best_channel
porn industry,1,1,False,11452726,11452726,2024-05-03,2024-05-03,"THE EVIL BUSINESS OF ""THE PORN INDUSTRY""",Too Harsh
train robberies,1,1,False,3581821,3581821,2025-02-18,2025-02-18,The Wild Business of Train Robberies,Tommy G
steakhouses,1,1,False,3461587,3461587,2023-02-09,2023-02-09,The Timeless Business of Steakhouses,Modern MBA
beauty dw documentary,1,1,False,2017741,2017741,2023-01-25,2023-01-25,The dirty business of beauty | DW Documentary,DW Documentary
nightclubs,1,1,False,1921081,1921081,2024-04-06,2024-04-06,The Secret Business of Nightclubs,Modern MBA
boxing mma ufc,1,1,False,1862521,1862521,2024-02-06,2024-02-06,The Bankrupt Business of Boxing #mma #ufc,CanceledMMA
chocolate,1,1,False,1603550,1603550,2022-10-01,2022-10-01,The Evil Business of Chocolate,Jake Tran
marijuana,1,1,False,1535857,1535857,2025-07-13,2025-07-13,The Crumbling Business of Marijuana,Modern MBA
instagram 💀 internet scrap 9 0 🔥,1,1,False,1503766,1503766,2026-04-25,2026-04-25,THE DARK BUSINESS OF INSTAGRAM 💀| INTERNET SCRAP 9.0 🔥,Play Like Incognito
tacos,1,1,False,1487040,1487040,2024-07-21,2024-07-21,The Territorial Business of Tacos,Modern MBA
understanding spotify,1,1,False,1385753,1385753,2024-04-05,2024-04-05,Understanding The Broken Business of Spotify,MBA Maven
diners,1,1,False,1278941,1278941,2023-08-13,2023-08-13,The Invincible Business of Diners,Modern MBA
bananas,1,1,False,1103060,1103060,2023-07-29,2023-07-29,The Evil Business of Bananas,MagnatesMedia
jay z,1,1,False,1060328,1060328,2024-11-02,2024-11-02,The Shady Business of Jay Z,Xevi
nelk empire,1,1,False,1026642,1026642,2026-03-22,2026-03-22,The Dirty Business of the NELK Empire,JAMARI
diamonds,3,2,True,971553,12876532,2023-02-23,2023-07-17,The shady business of diamonds,Smart Nonsense
sneakers,1,1,False,967076,967076,2024-08-18,2024-08-18,The Shrinking Business of Sneakers,Modern MBA
adin ross,1,1,False,938708,938708,2025-12-22,2025-12-22,The Controversial Business of Adin Ross,golfcart
donuts,1,1,False,926952,926952,2024-05-12,2024-05-12,The Evolving Business of Donuts,Modern MBA
