outlier,views,subs,channel,found_via,ai_hint,published,evergreen,title,url
4.09,76909,18800,瓜田剧场NO1ShortDrama,adjacent,-,2026-08-18,maybe,"키스 한 번에 20만 달러를 벌다!미녀를 속이려고 기절한 척 연기한 뒤,거액을 챙기기 위해 그녀를 고용한다.",https://www.youtube.com/watch?v=8BG2jLPXdq0
3.03,11952,3940,Dan & Jun,adjacent,-,2026-08-13,maybe,pov: you're a laid off 28 year old software engineer,https://www.youtube.com/watch?v=6fk-3DWWSU8
